,Country
0,Afghanistan
1,Angola
2,Albania
3,Argentina
4,Armenia
5,Burundi
6,Benin
7,Bangladesh
8,Bosnia and Herzegovina
9,Belarus
10,Belize
11,Bolivia (Plurinational State of)
12,Brazil
13,Barbados
14,Botswana
15,Central African Republic
16,Chile
17,China
18,Côte d'Ivoire
19,Cameroon
20,Democratic Republic of the Congo
21,Congo
22,Colombia
23,Comoros
24,Costa Rica
25,Cuba
26,Dominican Republic
27,Algeria
28,Ecuador
29,Egypt
30,Ethiopia
31,Gabon
32,Georgia
33,Ghana
34,Guinea
35,Gambia
36,Guinea-Bissau
37,Guatemala
38,Guyana
39,Honduras
40,Haiti
41,Indonesia
42,India
43,Iraq
44,Jordan
45,Kazakhstan
46,Kenya
47,Kyrgyzstan
48,Cambodia
49,Kiribati
50,Lao People's Democratic Republic
51,Liberia
52,Saint Lucia
53,Sri Lanka
54,Lesotho
55,Republic of Moldova
56,Madagascar
57,Mexico
58,North Macedonia
59,Mali
60,Myanmar
61,Montenegro
62,Mongolia
63,Mauritania
64,Malawi
65,Namibia
66,Niger
67,Nigeria
68,Nepal
69,Pakistan
70,Panama
71,Peru
72,Philippines
73,Democratic People's Republic of Korea
74,Paraguay
75,State of Palestine
76,Rwanda
77,Sudan
78,Senegal
79,Sierra Leone
80,El Salvador
81,Serbia
82,Sao Tome and Principe
83,Suriname
84,Eswatini
85,Turks and Caicos Islands
86,Chad
87,Togo
88,Thailand
89,Tajikistan
90,Turkmenistan
91,Timor-Leste
92,Tonga
93,Tunisia
94,Türkiye
95,Tuvalu
96,United Republic of Tanzania
97,Uganda
98,Ukraine
99,Uruguay
100,Viet Nam
101,Samoa
102,Yemen
103,South Africa
104,Zambia
105,Zimbabwe
106,Kosovo
107,Anguilla
108,Antigua and Barbuda
109,Australia
110,Austria
111,Azerbaijan
112,Bahrain
113,Belgium
114,Bhutan
115,British Virgin Islands
116,Brunei Darussalam
117,Bulgaria
118,Burkina Faso
119,Cabo Verde
120,Canada
121,Cook Islands
122,Croatia
123,Cyprus
124,Czechia
125,Denmark
126,Djibouti
127,Dominica
128,Equatorial Guinea
129,Eritrea
130,Estonia
131,Fiji
132,Finland
133,France
134,Germany
135,Greece
136,Grenada
137,Holy See
138,Hungary
139,Iceland
140,Iran (Islamic Republic of)
141,Ireland
142,Israel
143,Italy
144,Jamaica
145,Kuwait
146,Latvia
147,Liechtenstein
148,Lithuania
149,Luxembourg
150,Malaysia
151,Maldives
152,Malta
153,Marshall Islands
154,Mauritius
155,Micronesia (Federated States of)
156,Montserrat
157,Morocco
158,Mozambique
159,Nauru
160,Netherlands
161,New Zealand
162,Norway
163,Oman
164,Palau
165,Papua New Guinea
166,Poland
167,Portugal
168,Qatar
169,Republic of Korea
170,Romania
171,Russian Federation
172,Saint Kitts and Nevis
173,Saint Vincent and the Grenadines
174,San Marino
175,Saudi Arabia
176,Seychelles
177,Singapore
178,Slovakia
179,Slovenia
180,Solomon Islands
181,South Sudan
182,Spain
183,Sweden
184,Switzerland
185,United Arab Emirates
186,United Kingdom
187,United States
188,Uzbekistan
189,Vanuatu
190,Venezuela (Bolivarian Republic of)
191,Niue
192,Tokelau
193,Trinidad and Tobago
